timestamp,ip_address,request_type,resource,job_type,status_code,response_size,response_time,user_agent,country,region,continent,gender,age,is_error
2025-01-01 00:53:44,92.149.148.147,GET,/logout,,200,9.14,362,Chrome,USA,North America,Americas,Male,72,0
2025-01-01 01:19:46,14.225.51.135,GET,/home,,200,106.65,642,Firefox,USA,North America,Americas,Non-binary,18,0
2025-01-01 01:26:17,123.167.113.166,POST,/contact,,500,128.74,56,Edge,DEU,Western Europe,Europe,Male,70,1
2025-01-01 02:32:42,67.142.188.117,POST,/jobs/place,,301,93.0,642,Mobile,USA,North America,Americas,Prefer not to say,38,0
2025-01-01 03:05:59,17.183.106.116,GET,/about,,200,108.61,534,Edge,USA,North America,Americas,Male,34,0
2025-01-01 03:30:01,41.11.202.66,GET,/about,,304,29.15,377,Chrome,FRA,Western Europe,Europe,Female,65,0
2025-01-01 04:12:25,73.111.245.54,POST,/api/data,,200,48.98,662,Chrome,IND,Southern Asia,Asia,Female,39,0
2025-01-01 04:43:57,68.113.211.77,GET,/demo/schedule,,200,472.06,162,Edge,AUS,Oceania,Oceania,Male,53,0
2025-01-01 04:57:05,102.13.154.53,POST,/demo/schedule,,200,471.79,287,Chrome,DEU,Western Europe,Europe,Female,50,0
2025-01-01 05:07:55,28.154.108.197,POST,/contact,,200,484.11,612,Chrome,USA,North America,Americas,Male,34,0
2025-01-01 05:45:01,55.151.78.51,GET,/products,,301,232.99,322,Chrome,DEU,Western Europe,Europe,Male,42,0
2025-01-01 05:57:47,102.68.73.18,GET,/demo/schedule,,200,60.8,371,Edge,USA,North America,Americas,Female,18,0
2025-01-01 06:02:00,122.149.139.107,GET,/profile,,401,338.28,474,Chrome,USA,North America,Americas,Female,48,1
2025-01-01 06:10:11,56.204.185.57,GET,/home,,200,166.8,263,Edge,IND,Southern Asia,Asia,Prefer not to say,26,0
2025-01-01 06:13:11,51.41.191.58,GET,/login,,500,48.24,331,Edge,CAN,North America,Americas,Male,24,1
2025-01-01 06:24:16,30.58.236.243,GET,/demo/schedule,,404,487.65,534,Edge,CAN,North America,Americas,Male,71,1
2025-01-01 09:01:35,45.55.84.239,GET,/dashboard,,200,413.91,238,Chrome,USA,North America,Americas,Prefer not to say,33,0
2025-01-01 09:07:56,49.212.241.194,POST,/events/promotional,,200,112.26,234,Edge,AUS,Oceania,Oceania,Female,60,0
2025-01-01 09:08:18,30.203.187.24,POST,/login,,400,116.49,597,Chrome,IND,Southern Asia,Asia,Female,18,1
2025-01-01 09:08:33,31.180.112.163,PUT,/home,,200,37.94,450,Safari,IND,Southern Asia,Asia,Male,34,0
2025-01-01 09:28:07,5.240.113.52,GET,/api/data,,404,99.2,209,Safari,CAN,North America,Americas,Female,47,1
2025-01-01 09:35:05,33.243.37.117,GET,/home,,200,44.19,379,Firefox,USA,North America,Americas,Male,58,0
2025-01-01 09:48:06,92.228.109.157,POST,/demo/schedule,,200,7.24,272,Firefox,IND,Southern Asia,Asia,Male,49,0
2025-01-01 10:00:24,91.56.97.5,GET,/products,,200,373.1,776,Safari,DEU,Western Europe,Europe,Male,44,0
